	shannon_entropy
SRR10505051	1.2935218881933583
SRR10505052	0.9789782674718774
SRR10505053	0.30579429459083735
SRR10505056	2.139227569924471
SRR10505057	1.5899369779734431
SRR10505058	1.9840840622785498
SRR10505059	1.0962101079313575
SRR10505060	0.9844735285158052
SRR10505061	1.1890859521311992
SRR10505062	1.2840047766811287
SRR10505063	1.8010220596861604
SRR10505064	0.542279231613405
SRR10505065	1.822155734997613
SRR10505066	1.8997151437054174
SRR10505067	0.10987065236831735
SRR10505068	0.9796142671568114
SRR10505069	1.734374821840832
SRR10505071	0.9877516446184849
SRR10505072	0.18015174036789508
SRR10505076	2.8692086767726077
SRR10505077	2.9268529608983846
SRR10505078	2.5064598457756775
SRR10505079	1.320581962724663
SRR10505080	0.5110849917291457
SRR10505081	1.5075446620060546
SRR10505083	3.701217720204133
SRR10505084	3.069957944687831
SRR10505085	1.0505680503650745
SRR10505086	1.3240930948026235
SRR10505087	0.8506006992499328
SRR10505088	1.1822862320474175
SRR10505089	1.3897390696406837
SRR10505090	1.1653679214135946
SRR10505091	1.3091428170914239
SRR10505092	1.4480032574789499
SRR10505094	0.2433105876157462
SRR10505095	0.26933932792427273
SRR10505096	1.332227065715024
SRR10505097	0.1503662739135219
SRR10505098	2.2792470968651997
SRR10505099	1.3190671338615803
SRR10505100	1.0634130764710445
SRR10505101	1.1685424014667396
SRR10505102	1.050056213101847
SRR10505103	1.5006553995577616
SRR10505104	1.1225039652081676
SRR10505105	0.7611525070983953
SRR10505106	1.5322608562379954
SRR10505107	1.0261873642413954
SRR10505108	1.3743483998379935
SRR10505110	1.401698093427582
SRR10505111	1.5010386659404973
SRR10505112	0.6489701679138089
SRR10505113	3.418284045306687
SRR10505114	0.35417079270044516
SRR10505116	2.1936812576865474
SRR10505117	1.0948477185414436
SRR10505118	1.5331087926050446
SRR10505119	1.2919657226724162
SRR10505120	0.5177526267252631
SRR10505123	1.8038893240373948
SRR10505124	1.2891462416556942
SRR10505125	1.5107728633648732
SRR10505126	1.8110449004736855
SRR10505127	1.965699008254024
SRR10505128	2.0449253555771727
SRR10505129	2.603916115412444
SRR10505130	1.6367217535284972
SRR10505131	1.792431466479715
SRR10505132	0.8047347249463985
SRR10505133	0.34378812409971776
SRR10505134	0.5592522530796004
SRR10505135	0.32873495150798815
SRR10505136	0.6292302635765542
SRR10505137	1.385379514457394
SRR10505138	1.724737319357885
SRR10505140	1.0802306722631427
SRR10505141	2.9214205879642043
SRR10505142	2.4977539217208578
SRR10505143	1.3665764779261118
SRR10505144	0.9909466352925325
SRR10505146	2.3157923253483674
SRR10505147	2.187346495443032
SRR10505148	2.070527381056894
SRR10505151	3.567947334309576
SRR10505152	2.30009787936202
SRR10505153	0.209602802217272
SRR10505154	2.024749901336141
SRR10505155	1.8329572725777676
